Crime level,Crime level code,Postal Code,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Medium,2,M3N,North York,Downsview,43.7616313,-79.5209994,3,Vietnamese Restaurant,Coffee Shop,Park,Pizza Place,Grocery Store,Gas Station,Gym / Fitness Center,Bank,Fast Food Restaurant,Turkish Restaurant
Low,1,M4A,North York,Victoria Village,43.7258823,-79.3155716,4,Coffee Shop,Middle Eastern Restaurant,Gym,Fast Food Restaurant,Indian Restaurant,Thrift / Vintage Store,Grocery Store,Department Store,Medical Supply Store,Martial Arts School
Low,1,M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,3,Pharmacy,Intersection,Pizza Place,Brewery,Fast Food Restaurant,Park,Athletics & Sports,Rock Climbing Spot,Bank,Bakery
Low,1,M4C,East York,Woodbine Heights,43.6953439,-79.3183887,3,Park,Coffee Shop,Pizza Place,Sandwich Place,Bank,Bar,Pharmacy,Gastropub,Sushi Restaurant,Convenience Store
Low,1,M4E,East Toronto,The Beaches,43.6763574,-79.2930312,4,Coffee Shop,Pub,Grocery Store,Breakfast Spot,Japanese Restaurant,Beach,BBQ Joint,Bakery,Sandwich Place,Ice Cream Shop
Low,1,M4G,East York,Leaside,43.7090604,-79.3634517,3,Indian Restaurant,Coffee Shop,Grocery Store,Restaurant,Bakery,Sandwich Place,Supermarket,Sporting Goods Shop,Burger Joint,Thai Restaurant
Low,1,M4H,East York,Thorncliffe Park,43.7053689,-79.3493719,3,Coffee Shop,Restaurant,Sandwich Place,Furniture / Home Store,Indian Restaurant,Burger Joint,Electronics Store,Sporting Goods Shop,Grocery Store,Park
Low,1,M4J,East York,"East Toronto, Broadview North (Old East York)",43.685347,-79.3381065,0,Greek Restaurant,Café,Coffee Shop,Ice Cream Shop,Ethiopian Restaurant,Park,Pizza Place,Bakery,Beer Bar,Pub
Medium,2,M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,0,Greek Restaurant,Café,Park,Coffee Shop,Bakery,Pub,Pizza Place,Vietnamese Restaurant,Ice Cream Shop,Theater
Low,1,M4L,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.3155716,0,Park,Bakery,Coffee Shop,Indian Restaurant,Brewery,Pub,Grocery Store,Café,Beach,Restaurant
