Postal Code,Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M4J,East York,"East Toronto, Broadview North (Old East York)",43.685347,-79.3381065,0,Greek Restaurant,Café,Coffee Shop,Pizza Place,Park,Ice Cream Shop,Ethiopian Restaurant,Bakery,Thai Restaurant,Brewery
M4K,East Toronto,"The Danforth West, Riverdale",43.6795571,-79.352188,0,Greek Restaurant,Café,Park,Coffee Shop,Bakery,Pub,Pizza Place,Ice Cream Shop,Flower Shop,Vietnamese Restaurant
M4L,East Toronto,"India Bazaar, The Beaches West",43.6689985,-79.3155716,0,Park,Coffee Shop,Brewery,Indian Restaurant,Bakery,Café,Grocery Store,Beach,BBQ Joint,Restaurant
M4M,East Toronto,Studio District,43.6595255,-79.340923,0,Coffee Shop,Café,Park,Diner,Bakery,French Restaurant,Pub,Brewery,Pizza Place,Grocery Store
M4N,Central Toronto,Lawrence Park,43.7280205,-79.3887901,0,Coffee Shop,Sushi Restaurant,Italian Restaurant,Bakery,Park,Café,Bank,Asian Restaurant,Cosmetics Shop,Sandwich Place
M4P,Central Toronto,Davisville North,43.7127511,-79.3901975,0,Italian Restaurant,Coffee Shop,Park,Restaurant,Sushi Restaurant,Pizza Place,Bakery,Café,Indian Restaurant,Dessert Shop
M4R,Central Toronto,"North Toronto West, Lawrence Park",43.7153834,-79.4056784,0,Coffee Shop,Italian Restaurant,Café,Sushi Restaurant,Bakery,Restaurant,Japanese Restaurant,Fast Food Restaurant,Ramen Restaurant,Food & Drink Shop
M4S,Central Toronto,Davisville,43.7043244,-79.3887901,0,Italian Restaurant,Coffee Shop,Bakery,Pizza Place,Park,Indian Restaurant,Café,Restaurant,Japanese Restaurant,Sushi Restaurant
M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.3831599,0,Italian Restaurant,Park,Coffee Shop,Sushi Restaurant,Restaurant,Café,Grocery Store,Liquor Store,Sandwich Place,Gas Station
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6864123,-79.4000493,0,Italian Restaurant,Café,Coffee Shop,Park,Sushi Restaurant,Burger Joint,Liquor Store,French Restaurant,Bank,Spa
M4W,Downtown Toronto,Rosedale,43.6795626,-79.3775294,0,Park,Italian Restaurant,Coffee Shop,Café,Grocery Store,Sushi Restaurant,Spa,Indian Restaurant,French Restaurant,Gourmet Shop
